catalogNumber                                                AA0370
basisOfRecord                                        LivingSpecimen
decimalLatitude                                              348601
decimalLongitude                                            6284410
phylum                                                 Tracheophyta
Class                                                 Magnoliopsida
order                                                       Fabales
family                                                     Fabaceae
genus                                                        Acacia
specificEpithet                                         macracantha
infraspecificEpithet                                            NaN
nameAcordingTo                             Humb. & Bonpl. ex Willd.
verbatimTaxonRank                                               NaN
taxonRank                                                   species
acceptedNameUsage       Acacia macracantha Humb. & Bonpl. ex Willd.
establishmentMeans                                           Nativa
locationRemarks                                                 NaN
sex                                                   hermaphrodite
Name: AA0370, dtype: object
